,invoice_id,cust_number,name_customer,Industry_Sector,buisness_year,issue_date,due_in_date,invoice_currency,total_open_amount,clear_date,isOpen,Ground_Truth,issue_date_format,due_in_date_format,clear_date_format,time_taken_for_payment,payment_category,sector_format,no_of_days_for_due_pay,US_Dollars,no_of_early_pays,avg_of_early_pays,no_of_OnTime_pays,avg_of_OnTime_pays,no_of_late_pays,avg_of_late_pays,no_of_VeryLate_pays,avg_of_VeryLate_pays,no_of_CriticallyLate_pays,avg_of_CriticallyLate_pays
307,1929239096.0,200769623,WAL-MAR in,Retail,2019,05/03/19,20190518,USD,15872.12,5/14/19 0:00,0,,2019-05-03,2019-05-18,2019-05-14,-4.0,Early,Retail,15,15872.12,50,20057.34690618763,1,11085.927272727273,8,17723.343209876544,1,791.8272727272727,0,0.0
308,1929808011.0,200769623,WAL-MAR co,Retail,2019,8/28/19,20190912,USD,44874.28,09/10/19 0:00,0,,2019-08-28,2019-09-12,2019-09-10,-2.0,Early,Retail,15,44874.28,104,23724.91181556195,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0
309,1930092399.0,200769623,WAL-MAR foundation,Retail,2019,11/03/19,20191118,USD,13.65,11/21/19 0:00,0,,2019-11-03,2019-11-18,2019-11-21,3.0,Late,Retail,15,13.65,129,23963.050116188995,1,11085.927272727273,23,25126.30995670996,1,791.8272727272727,0,0.0
310,1930346915.0,200780383,MEIJ in,,2020,01/03/20,20200118,USD,54614.3,1/21/20 0:00,0,,2020-01-03,2020-01-18,2020-01-21,3.0,Late,AllSectors,15,54614.3,0,0.0,4,39590.6756097561,6,57891.94426229508,0,0.0,0,0.0
313,1930203208.0,200769623,WAL-MAR co,Retail,2019,11/29/19,20191214,USD,39409.42,12/10/19 0:00,0,,2019-11-29,2019-12-14,2019-12-10,-4.0,Early,Retail,15,39409.42,142,23754.39254046445,1,11085.927272727273,26,23470.657471264363,1,791.8272727272727,0,0.0
315,2960572249.0,140105785,SHOPPE us,,2019,08/12/19,20190830,CAD,18913.86,09/03/19 0:00,0,,2019-08-12,2019-08-30,2019-09-03,4.0,Late,AllSectors,18,13807.1178,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
316,1930560801.0,200726979,BJ'S  ,,2020,2/24/20,20200310,USD,68.91,03/10/20 0:00,0,,2020-02-24,2020-03-10,2020-03-10,0.0,OnTime,AllSectors,15,68.91,0,0.0,22,6381.696832579184,20,9633.343781094527,0,0.0,0,0.0
317,1929599319.0,200287284,CALIFO associates,,2019,07/09/19,20190808,USD,535045.04,8/23/19 0:00,0,,2019-07-09,2019-08-08,2019-08-23,15.0,Late,AllSectors,30,535045.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
318,1928541038.0,200769623,WAL-MAR foundation,Retail,2019,12/30/18,20190114,USD,20695.38,01/09/19 0:00,0,,2018-12-30,2019-01-14,2019-01-09,-5.0,Early,Retail,15,20695.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
320,1930380953.0,200573068,GROCE corporation,,2020,01/09/20,20200124,USD,19020.02,1/24/20 0:00,0,,2020-01-09,2020-01-24,2020-01-24,0.0,OnTime,AllSectors,15,19020.02,0,0.0,1,15876.363636363634,0,0.0,0,0.0,0,0.0
321,1929715562.0,200803720,DEC corporation,,2019,08/07/19,20190824,USD,383.64,8/16/19 0:00,0,,2019-08-07,2019-08-24,2019-08-16,-8.0,Early,AllSectors,17,383.64,6,3157.3836065573773,0,0.0,0,0.0,0,0.0,0,0.0
322,1930048217.0,200078795,H T H corp,,2019,10/23/19,20191107,USD,464.08,11/20/19 0:00,0,,2019-10-23,2019-11-07,2019-11-20,13.0,Late,AllSectors,15,464.08,2,3549.680952380952,0,0.0,1,1086.7272727272727,0,0.0,0,0.0
325,1930364911.0,200769623,WAL-MAR trust,Retail,2020,01/08/20,20200123,USD,27497.1,1/21/20 0:00,0,,2020-01-08,2020-01-23,2020-01-21,-2.0,Early,Retail,15,27497.1,164,23611.53046922607,1,11085.927272727273,30,23649.7976744186,1,791.8272727272727,0,0.0
326,1930277333.0,200769623,WAL-MAR foundation,Retail,2019,12/14/19,20191229,USD,3795.7,12/26/19 0:00,0,,2019-12-14,2019-12-29,2019-12-26,-3.0,Early,Retail,15,3795.7,159,23634.75480829666,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0
327,1928940025.0,200729828,KENNETH co,,2019,03/11/19,20190326,USD,61470.32,3/26/19 0:00,0,,2019-03-11,2019-03-26,2019-03-26,0.0,OnTime,AllSectors,15,61470.32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
328,1929192643.0,200803720,DEC trust,,2019,4/23/19,20190509,USD,62.7,05/01/19 0:00,0,,2019-04-23,2019-05-09,2019-05-01,-8.0,Early,AllSectors,16,62.7,3,5994.393548387096,0,0.0,0,0.0,0,0.0,0,0.0
329,1929403590.0,200707822,PUBLI trust,,2019,5/29/19,20190613,USD,117771.0,6/13/19 0:00,0,,2019-05-29,2019-06-13,2019-06-13,0.0,OnTime,AllSectors,15,117771.0,0,0.0,0,0.0,5,82578.71176470589,0,0.0,0,0.0
331,1928634187.0,100031704,DELHAIZE ,,2019,1/18/19,20190202,USD,59953.23,02/01/19 0:00,0,,2019-01-18,2019-02-02,2019-02-01,-1.0,Early,AllSectors,15,59953.23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
332,1929628761.0,200399141,HEARTHSI llc,,2019,7/18/19,20190916,USD,71580.0,9/30/19 0:00,0,,2019-07-18,2019-09-16,2019-09-30,14.0,Late,AllSectors,60,71580.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
334,2960572915.0,140104340,COLABOR  foundation,,2019,8/14/19,20190826,CAD,785.26,8/29/19 0:00,0,,2019-08-14,2019-08-26,2019-08-29,3.0,Late,AllSectors,12,573.2398,1,296.7181818181818,0,0.0,2,27737.585714285713,1,6162.818181818182,0,0.0
335,1929607600.0,200424504,M  us,,2019,07/11/19,20190815,USD,6127.08,8/16/19 0:00,0,,2019-07-11,2019-08-15,2019-08-16,1.0,Late,AllSectors,35,6127.08,0,0.0,0,0.0,1,2664.690909090909,0,0.0,0,0.0
336,2960571394.0,140104429,COSTCO us,,2019,8/22/19,20190902,CAD,6156.93,09/05/19 0:00,0,,2019-08-22,2019-09-02,2019-09-05,3.0,Late,AllSectors,11,4494.5589,0,0.0,0,0.0,4,39333.346341463424,0,0.0,0,0.0
337,1929529060.0,200769623,WAL-MAR trust,Retail,2019,6/24/19,20190709,USD,69976.62,07/05/19 0:00,0,,2019-06-24,2019-07-09,2019-07-05,-4.0,Early,Retail,15,69976.62,72,20731.61983356449,1,11085.927272727273,14,21987.720567375887,1,791.8272727272727,0,0.0
338,1928884460.0,200771157,WEIS associates,,2019,03/02/19,20190317,USD,66520.4,3/18/19 0:00,0,,2019-03-02,2019-03-17,2019-03-18,1.0,Late,AllSectors,15,66520.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
339,1929050540.0,200743996,STATER  systems,,2019,3/29/19,20190603,USD,955.72,4/15/19 0:00,0,,2019-03-29,2019-06-03,2019-04-15,-49.0,Early,AllSectors,66,955.72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
341,1930027969.0,200778355,US  llc,,2019,10/18/19,20191107,USD,51733.48,11/08/19 0:00,0,,2019-10-18,2019-11-07,2019-11-08,1.0,Late,AllSectors,20,51733.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
342,1930050154.0,200769623,WAL-MAR trust,Retail,2019,10/29/19,20191113,USD,27350.39,11/19/19 0:00,0,,2019-10-29,2019-11-13,2019-11-19,6.0,Late,Retail,15,27350.39,127,24165.833202202983,1,11085.927272727273,22,25025.67285067873,1,791.8272727272727,0,0.0
343,1929656990.0,200769623,WAL-MAR trust,Retail,2019,7/27/19,20190811,USD,53200.16,08/06/19 0:00,0,,2019-07-27,2019-08-11,2019-08-06,-5.0,Early,Retail,15,53200.16,88,22500.554029511914,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0
344,1928544354.0,200714710,SYSCO  corporation,,2019,01/02/19,20190117,USD,47825.79,1/15/19 0:00,0,,2019-01-02,2019-01-17,2019-01-15,-2.0,Early,AllSectors,15,47825.79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
345,1930074266.0,200769623,WAL-MAR co,Retail,2019,11/01/19,20191116,USD,14793.88,11/12/19 0:00,0,,2019-11-01,2019-11-16,2019-11-12,-4.0,Early,Retail,15,14793.88,127,24165.833202202983,1,11085.927272727273,23,25126.30995670996,1,791.8272727272727,0,0.0
346,1929804686.0,200793513,KROGER co,,2019,8/28/19,20190912,USD,65476.71,09/12/19 0:00,0,,2019-08-28,2019-09-12,2019-09-12,0.0,OnTime,AllSectors,15,65476.71,0,0.0,1,2526.672727272727,0,0.0,0,0.0,0,0.0
347,1930272989.0,200729290,KROGER ,,2019,12/13/19,20191228,USD,45346.85,12/30/19 0:00,0,,2019-12-13,2019-12-28,2019-12-30,2.0,Late,AllSectors,15,45346.85,0,0.0,1,61767.57272727272,2,33245.31428571429,0,0.0,0,0.0
348,1928580719.0,200794332,COST associates,,2019,01/08/19,20190123,USD,20557.14,1/23/19 0:00,0,,2019-01-08,2019-01-23,2019-01-23,0.0,OnTime,AllSectors,15,20557.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
349,1929975497.0,200780383,MEIJ us,,2019,10/07/19,20191022,USD,131654.89,10/22/19 0:00,0,,2019-10-07,2019-10-22,2019-10-22,0.0,OnTime,AllSectors,15,131654.89,0,0.0,1,16814.418181818182,5,39488.86078431372,0,0.0,0,0.0
350,1928662265.0,200769623,WAL-MAR associates,Retail,2019,1/23/19,20190207,USD,48098.93,02/04/19 0:00,0,,2019-01-23,2019-02-07,2019-02-04,-3.0,Early,Retail,15,48098.93,12,18712.421487603304,0,0.0,1,32898.281818181815,0,0.0,0,0.0
351,1929555086.0,200936373,SUPE associates,,2019,07/01/19,20190716,USD,49160.75,7/16/19 0:00,0,,2019-07-01,2019-07-16,2019-07-16,0.0,OnTime,AllSectors,15,49160.75,0,0.0,1,8987.881818181817,2,52363.55714285714,0,0.0,0,0.0
352,1929538525.0,200803720,DEC systems,,2019,6/25/19,20190709,USD,294.66,07/01/19 0:00,0,,2019-06-25,2019-07-09,2019-07-01,-8.0,Early,AllSectors,14,294.66,5,3718.701960784314,0,0.0,0,0.0,0,0.0,0,0.0
353,1991822152.0,CC7455,HEIN llc,,2019,02/06/19,20190323,USD,22348.78,05/03/19 0:00,0,,2019-02-06,2019-03-23,2019-05-03,41.0,VeryLate,AllSectors,45,22348.78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
354,1928650918.0,200769623,WAL-MAR trust,Retail,2019,1/19/19,20190203,USD,34035.71,1/29/19 0:00,0,,2019-01-19,2019-02-03,2019-01-29,-5.0,Early,Retail,15,34035.71,10,18925.676237623764,0,0.0,1,32898.281818181815,0,0.0,0,0.0
355,1929420008.0,200759878,SA systems,,2019,06/04/19,20190619,USD,81427.89,6/19/19 0:00,0,,2019-06-04,2019-06-19,2019-06-19,0.0,OnTime,AllSectors,15,81427.89,0,0.0,1,57069.42727272727,8,26240.476543209876,0,0.0,0,0.0
356,1929735032.0,200793088,DEMOU us,,2019,8/14/19,20190829,USD,148653.48,8/29/19 0:00,0,,2019-08-14,2019-08-29,2019-08-29,0.0,OnTime,AllSectors,15,148653.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
357,1928634186.0,200714710,SYSCO  in,,2019,1/22/19,20190223,USD,881.08,2/26/19 0:00,0,,2019-01-22,2019-02-23,2019-02-26,3.0,Late,AllSectors,32,881.08,1,43477.990909090906,0,0.0,0,0.0,0,0.0,0,0.0
358,1929732606.0,200308132,COLORA systems,,2019,08/10/19,20190825,USD,23707.2,8/27/19 0:00,0,,2019-08-10,2019-08-25,2019-08-27,2.0,Late,AllSectors,15,23707.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
359,1929130939.0,200726979,BJ'S  systems,,2019,04/09/19,20190424,USD,167.97,4/24/19 0:00,0,,2019-04-09,2019-04-24,2019-04-24,0.0,OnTime,AllSectors,15,167.97,0,0.0,2,48243.30952380952,5,16873.511764705883,0,0.0,0,0.0
360,2960546191.0,140104340,COLABOR  co,,2019,05/07/19,20190519,CAD,326.39,5/16/19 0:00,0,,2019-05-07,2019-05-19,2019-05-16,-3.0,Early,AllSectors,12,238.26469999999998,0,0.0,0,0.0,1,3480.6454545454544,1,6162.818181818182,0,0.0
361,2960578465.0,140106408,WAL-M associates,,2019,09/09/19,20190919,CAD,26663.52,10/01/19 0:00,0,,2019-09-09,2019-09-19,2019-10-01,12.0,Late,AllSectors,10,19464.369599999998,0,0.0,0,0.0,11,41252.036936936944,0,0.0,0,0.0
364,2960545789.0,140104440,SO llc,,2019,05/04/19,20190516,CAD,263908.02,5/21/19 0:00,0,,2019-05-04,2019-05-16,2019-05-21,5.0,Late,AllSectors,12,192652.85460000002,0,0.0,0,0.0,2,76288.45238095238,0,0.0,0,0.0
365,1929951202.0,200769623,WAL-MAR corp,Retail,2019,10/01/19,20191016,USD,15608.85,10/15/19 0:00,0,,2019-10-01,2019-10-16,2019-10-15,-1.0,Early,Retail,15,15608.85,111,23886.053285328526,1,11085.927272727273,20,21888.790049751246,1,791.8272727272727,0,0.0
366,1929537891.0,200769623,WAL-MAR corp,Retail,2019,6/25/19,20190710,USD,64523.68,07/08/19 0:00,0,,2019-06-25,2019-07-10,2019-07-08,-2.0,Early,Retail,15,64523.68,73,21405.28604651163,1,11085.927272727273,14,21987.720567375887,1,791.8272727272727,0,0.0
367,1930195225.0,200230690,DECA corporation,,2019,11/26/19,20191209,USD,981.17,11/28/19 0:00,0,,2019-11-26,2019-12-09,2019-11-28,-11.0,Early,AllSectors,13,981.17,5,5619.949019607844,0,0.0,2,2261.8238095238094,0,0.0,0,0.0
368,1930571243.0,200718130,SYSCO F foundation,,2020,2/26/20,20200312,USD,23669.98,3/13/20 0:00,0,,2020-02-26,2020-03-12,2020-03-13,1.0,Late,AllSectors,15,23669.98,1,2188.3181818181815,0,0.0,0,0.0,0,0.0,0,0.0
369,1929578328.0,200778870,C associates,,2019,07/05/19,20190720,USD,133941.99,7/25/19 0:00,0,,2019-07-05,2019-07-20,2019-07-25,5.0,Late,AllSectors,15,133941.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
370,1930570825.0,200790215,VAN  us,,2020,2/26/20,20200317,USD,43342.59,4/24/20 0:00,0,,2020-02-26,2020-03-17,2020-04-24,38.0,VeryLate,AllSectors,20,43342.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
371,1928885531.0,200761734,H E BUT systems,,2019,03/01/19,20190316,USD,52633.36,3/15/19 0:00,0,,2019-03-01,2019-03-16,2019-03-15,-1.0,Early,AllSectors,15,52633.36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
372,1929277229.0,200779906,BOZZU us,,2019,05/08/19,20190523,USD,18335.4,5/24/19 0:00,0,,2019-05-08,2019-05-23,2019-05-24,1.0,Late,AllSectors,15,18335.4,0,0.0,0,0.0,1,49378.12727272727,0,0.0,0,0.0
373,1991829819.0,100049850,ROADTOWN in,,2019,07/11/19,20190909,USD,30.18,7/19/19 0:00,0,,2019-07-11,2019-09-09,2019-07-19,-52.0,Early,AllSectors,60,30.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
374,1929492701.0,200726979,BJ'S  co,,2019,6/15/19,20190630,USD,126.24,07/01/19 0:00,0,,2019-06-15,2019-06-30,2019-07-01,1.0,Late,AllSectors,15,126.24,0,0.0,9,12280.932967032968,10,10497.140594059405,0,0.0,0,0.0
375,1930560599.0,200748108,KROGER corporation,,2020,2/25/20,20200311,USD,17457.22,03/11/20 0:00,0,,2020-02-25,2020-03-11,2020-03-11,0.0,OnTime,AllSectors,15,17457.22,0,0.0,1,112337.77272727272,2,47681.15238095238,0,0.0,0,0.0
376,1930533106.0,100031704,DELHAIZE llc,,2020,2/18/20,20200304,USD,74006.39,03/04/20 0:00,0,,2020-02-18,2020-03-04,2020-03-04,0.0,OnTime,AllSectors,15,74006.39,2,52904.91904761905,2,11590.32857142857,4,38224.085365853665,0,0.0,0,0.0
377,1929987015.0,200726979,BJ'S  associates,,2019,10/09/19,20191024,USD,709.01,10/24/19 0:00,0,,2019-10-09,2019-10-24,2019-10-24,0.0,OnTime,AllSectors,15,709.01,0,0.0,16,7679.2453416149065,17,11307.380701754386,0,0.0,0,0.0
378,1929588359.0,200974851,RESTA us,,2019,07/08/19,20190723,USD,3098.03,7/23/19 0:00,0,,2019-07-08,2019-07-23,2019-07-23,0.0,OnTime,AllSectors,15,3098.03,0,0.0,1,1533.3999999999999,1,342.1363636363636,0,0.0,0,0.0
379,1929821502.0,200750051,ALBER ,,2019,09/03/19,20190918,USD,64575.56,9/18/19 0:00,0,,2019-09-03,2019-09-18,2019-09-18,0.0,OnTime,AllSectors,15,64575.56,0,0.0,1,5475.936363636363,0,0.0,0,0.0,0,0.0
380,1930180119.0,200353024,DECA llc,,2019,11/21/19,20191209,USD,141.6,12/02/19 0:00,0,,2019-11-21,2019-12-09,2019-12-02,-7.0,Early,AllSectors,18,141.6,5,1412.1901960784314,0,0.0,0,0.0,0,0.0,0,0.0
381,1929579363.0,200769623,WAL-MAR trust,Retail,2019,07/06/19,20190721,USD,934.82,7/23/19 0:00,0,,2019-07-06,2019-07-21,2019-07-23,2.0,Late,Retail,15,934.82,80,22223.12147315855,1,11085.927272727273,15,24028.576821192055,1,791.8272727272727,0,0.0
382,1928660025.0,200792293,UNIFIE corporation,,2019,1/23/19,20190207,USD,36365.76,02/07/19 0:00,0,,2019-01-23,2019-02-07,2019-02-07,0.0,OnTime,AllSectors,15,36365.76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
384,1928913853.0,200769623,WAL-MAR corporation,Retail,2019,03/07/19,20190322,USD,2067.18,3/18/19 0:00,0,,2019-03-07,2019-03-22,2019-03-18,-4.0,Early,Retail,15,2067.18,29,16389.271134020615,0,0.0,6,23443.847540983606,1,791.8272727272727,0,0.0
385,1929230211.0,200797452,US  corp,,2019,4/29/19,20190514,USD,59731.06,5/17/19 0:00,0,,2019-04-29,2019-05-14,2019-05-17,3.0,Late,AllSectors,15,59731.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
386,1928895946.0,200761734,H E BUT systems,,2019,03/05/19,20190320,USD,7787.1,3/19/19 0:00,0,,2019-03-05,2019-03-20,2019-03-19,-1.0,Early,AllSectors,15,7787.1,1,47848.50909090909,0,0.0,0,0.0,0,0.0,0,0.0
387,1930358429.0,200416837,DEC associates,,2020,01/06/20,20200124,USD,2175.46,1/15/20 0:00,0,,2020-01-06,2020-01-24,2020-01-15,-9.0,Early,AllSectors,18,2175.46,4,2269.9707317073176,0,0.0,1,18961.081818181814,0,0.0,0,0.0
388,2960544069.0,140106408,WAL-M systems,,2019,4/25/19,20190505,CAD,5417.93,5/16/19 0:00,0,,2019-04-25,2019-05-05,2019-05-16,11.0,Late,AllSectors,10,3955.0889,0,0.0,0,0.0,4,25567.66585365854,0,0.0,0,0.0
389,1929672122.0,200705742,DOT co,,2019,7/28/19,20190812,USD,21953.66,8/13/19 0:00,0,,2019-07-28,2019-08-12,2019-08-13,1.0,Late,AllSectors,15,21953.66,4,3026.3414634146343,3,8635.535483870968,1,10420.172727272728,0,0.0,0,0.0
390,1929877390.0,200714710,SYSCO  llc,,2019,9/16/19,20191001,USD,660.04,9/30/19 0:00,0,,2019-09-16,2019-10-01,2019-09-30,-1.0,Early,AllSectors,15,660.04,2,24338.766666666666,0,0.0,3,12251.616129032258,0,0.0,0,0.0
391,1929534004.0,200762301,C&S WH associates,,2019,6/25/19,20190710,USD,25093.71,07/09/19 0:00,0,,2019-06-25,2019-07-10,2019-07-09,-1.0,Early,AllSectors,15,25093.71,1,26.027272727272724,4,52716.85609756099,3,29862.364516129033,0,0.0,0,0.0
392,1929792419.0,200762301,C&S WH llc,,2019,8/27/19,20191031,USD,1583.54,11/01/19 0:00,0,,2019-08-27,2019-10-31,2019-11-01,1.0,Late,AllSectors,65,1583.54,3,13575.62258064516,4,52716.85609756099,3,29862.364516129033,0,0.0,0,0.0
393,1929856948.0,200020431,DEC corporation,,2019,09/10/19,20190924,USD,186.72,9/16/19 0:00,0,,2019-09-10,2019-09-24,2019-09-16,-8.0,Early,AllSectors,14,186.72,1,14969.072727272725,0,0.0,1,1697.3818181818178,0,0.0,0,0.0
394,1929636989.0,200759878,SA us,,2019,7/19/19,20190803,USD,41744.71,08/06/19 0:00,0,,2019-07-19,2019-08-03,2019-08-06,3.0,Late,AllSectors,15,41744.71,0,0.0,3,62629.354838709674,10,35198.628712871294,0,0.0,0,0.0
395,1929335945.0,200769623,WAL-MAR corp,Retail,2019,5/18/19,20190602,USD,44117.6,5/29/19 0:00,0,,2019-05-18,2019-06-02,2019-05-29,-4.0,Early,Retail,15,44117.6,55,19069.42649727768,1,11085.927272727273,8,17723.343209876544,1,791.8272727272727,0,0.0
397,1929755111.0,200743129,BROOKS associates,,2019,8/21/19,20190905,USD,62936.98,09/03/19 0:00,0,,2019-08-21,2019-09-05,2019-09-03,-2.0,Early,AllSectors,15,62936.98,0,0.0,0,0.0,2,104499.00476190474,0,0.0,0,0.0
398,1929895187.0,CCU013,KRAFT F llc,,2019,9/24/19,20190924,USD,22644.2,11/01/19 0:00,0,,2019-09-24,2019-09-24,2019-11-01,38.0,VeryLate,AllSectors,0,22644.2,0,0.0,0,0.0,0,0.0,2,33190.41904761904,0,0.0
400,1930388088.0,200769623,WAL-MAR co,Retail,2020,1/13/20,20200128,USD,10210.46,1/23/20 0:00,0,,2020-01-13,2020-01-28,2020-01-23,-5.0,Early,Retail,15,10210.46,165,23635.06511205329,1,11085.927272727273,30,23649.7976744186,1,791.8272727272727,0,0.0
401,1930065466.0,200705742,DOT corporation,,2019,10/29/19,20191113,USD,6293.46,11/13/19 0:00,0,,2019-10-29,2019-11-13,2019-11-13,0.0,OnTime,AllSectors,15,6293.46,7,18420.64647887324,3,8635.535483870968,2,15912.309523809523,0,0.0,0,0.0
404,1928871349.0,200759878,SA systems,,2019,2/27/19,20190314,USD,43759.47,3/15/19 0:00,0,,2019-02-27,2019-03-14,2019-03-15,1.0,Late,AllSectors,15,43759.47,0,0.0,1,57069.42727272727,4,19912.90243902439,0,0.0,0,0.0
405,1929798040.0,200744019,TARG systems,,2019,8/28/19,20190912,USD,58744.01,09/11/19 0:00,0,,2019-08-28,2019-09-12,2019-09-11,-1.0,Early,AllSectors,15,58744.01,1,10306.645454545453,0,0.0,7,33083.2014084507,0,0.0,0,0.0
406,1929402054.0,200726979,BJ'S  us,,2019,5/31/19,20190615,USD,18583.57,6/17/19 0:00,0,,2019-05-31,2019-06-15,2019-06-17,2.0,Late,AllSectors,15,18583.57,0,0.0,7,15656.470422535212,8,10730.02962962963,0,0.0,0,0.0
407,1990566997.0,200806643,PLAZA WA corporation,,2019,07/01/19,20190805,USD,13437.26,08/05/19 0:00,0,,2019-07-01,2019-08-05,2019-08-05,0.0,OnTime,AllSectors,35,13437.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
408,1930100947.0,200790107,ROU associates,,2019,11/05/19,20191120,USD,39259.33,11/20/19 0:00,0,,2019-11-05,2019-11-20,2019-11-20,0.0,OnTime,AllSectors,15,39259.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
409,1930289941.0,100043882,HAWAI ,,2019,12/17/19,20200101,USD,35428.53,12/30/19 0:00,0,,2019-12-17,2020-01-01,2019-12-30,-2.0,Early,AllSectors,15,35428.53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
410,1928683186.0,200769623,WAL-MAR trust,Retail,2019,1/26/19,20190210,USD,2213.68,02/05/19 0:00,0,,2019-01-26,2019-02-10,2019-02-05,-5.0,Early,Retail,15,2213.68,13,20955.66641221374,0,0.0,3,30437.364516129033,1,791.8272727272727,0,0.0
412,1928721098.0,200706844,WINC co,,2019,02/01/19,20181229,USD,576.88,2/19/19 0:00,0,,2019-02-01,2018-12-29,2019-02-19,52.0,VeryLate,AllSectors,-34,576.88,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
413,1928646891.0,200759878,SA corp,,2019,1/19/19,20190203,USD,18033.31,02/05/19 0:00,0,,2019-01-19,2019-02-03,2019-02-05,2.0,Late,AllSectors,15,18033.31,0,0.0,0,0.0,3,20519.22258064516,0,0.0,0,0.0
414,1929478400.0,200749782,KROG corp,,2019,06/12/19,20190627,USD,92275.72,6/27/19 0:00,0,,2019-06-12,2019-06-27,2019-06-27,0.0,OnTime,AllSectors,15,92275.72,0,0.0,1,6738.0545454545445,0,0.0,0,0.0,0,0.0
415,1929951273.0,200769623,WAL-MAR ,Retail,2019,10/02/19,20191017,USD,1898.2,10/15/19 0:00,0,,2019-10-02,2019-10-17,2019-10-15,-2.0,Early,Retail,15,1898.2,113,23740.661803713516,1,11085.927272727273,20,21888.790049751246,1,791.8272727272727,0,0.0
416,1930447917.0,200712349,FOOD trust,,2020,1/31/20,20200215,USD,3762.15,2/14/20 0:00,0,,2020-01-31,2020-02-15,2020-02-14,-1.0,Early,AllSectors,15,3762.15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
417,1930065929.0,200707005,KING S co,,2019,11/01/19,20191116,USD,10129.32,11/18/19 0:00,0,,2019-11-01,2019-11-16,2019-11-18,2.0,Late,AllSectors,15,10129.32,0,0.0,0,0.0,1,39201.11818181818,0,0.0,0,0.0
418,1929181481.0,200782669,SYGMA ,,2019,4/22/19,20190507,USD,28760.55,05/08/19 0:00,0,,2019-04-22,2019-05-07,2019-05-08,1.0,Late,AllSectors,15,28760.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
420,2960546247.0,140105686,SYSC corporation,,2019,05/03/19,20190519,CAD,31956.18,5/23/19 0:00,0,,2019-05-03,2019-05-19,2019-05-23,4.0,Late,AllSectors,16,23328.0114,0,0.0,0,0.0,2,17025.95238095238,0,0.0,0,0.0
421,1930383881.0,200705372,FR llc,,2020,01/12/20,20200127,USD,81703.39,1/27/20 0:00,0,,2020-01-12,2020-01-27,2020-01-27,0.0,OnTime,AllSectors,15,81703.39,0,0.0,2,3295.4761904761904,2,74141.2,0,0.0,0,0.0
422,1929702800.0,200701314,MBM  foundation,,2019,08/05/19,20190820,USD,3566.36,8/21/19 0:00,0,,2019-08-05,2019-08-20,2019-08-21,1.0,Late,AllSectors,15,3566.36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
424,1928904434.0,200353024,DECA associates,,2019,03/05/19,20190324,USD,33.12,3/18/19 0:00,0,,2019-03-05,2019-03-24,2019-03-18,-6.0,Early,AllSectors,19,33.12,1,44.94545454545454,0,0.0,0,0.0,0,0.0,0,0.0
425,1928768739.0,200820380,SMITH'S llc,,2019,02/10/19,20190225,USD,36833.34,2/25/19 0:00,0,,2019-02-10,2019-02-25,2019-02-25,0.0,OnTime,AllSectors,15,36833.34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
426,1930517454.0,200580232,INTERR ,,2020,02/12/20,20200222,USD,42383.25,2/26/20 0:00,0,,2020-02-12,2020-02-22,2020-02-26,4.0,Late,AllSectors,10,42383.25,0,0.0,1,38537.545454545456,1,38530.22727272727,0,0.0,0,0.0
427,1928830590.0,200759878,SA systems,,2019,2/21/19,20190308,USD,62776.37,03/08/19 0:00,0,,2019-02-21,2019-03-08,2019-03-08,0.0,OnTime,AllSectors,15,62776.37,0,0.0,0,0.0,4,19912.90243902439,0,0.0,0,0.0
