,no_of_days_for_due_pay,US_Dollars,no_of_early_pays,avg_of_early_pays,no_of_OnTime_pays,avg_of_OnTime_pays,no_of_late_pays,avg_of_late_pays,no_of_VeryLate_pays,avg_of_VeryLate_pays,no_of_CriticallyLate_pays,avg_of_CriticallyLate_pays,sector_label
331,15,59953.23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
332,60,71580.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
334,12,573.2398,1,296.7181818181818,0,0.0,2,27737.585714285713,1,6162.818181818182,0,0.0,0
335,35,6127.08,0,0.0,0,0.0,1,2664.690909090909,0,0.0,0,0.0,0
336,11,4494.5589,0,0.0,0,0.0,4,39333.346341463424,0,0.0,0,0.0,0
337,15,69976.62,72,20731.61983356449,1,11085.927272727273,14,21987.720567375887,1,791.8272727272727,0,0.0,2
338,15,66520.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
339,66,955.72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
341,20,51733.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
342,15,27350.39,127,24165.833202202983,1,11085.927272727273,22,25025.67285067873,1,791.8272727272727,0,0.0,2
343,15,53200.16,88,22500.554029511914,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
344,15,47825.79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
345,15,14793.88,127,24165.833202202983,1,11085.927272727273,23,25126.30995670996,1,791.8272727272727,0,0.0,2
346,15,65476.71,0,0.0,1,2526.672727272727,0,0.0,0,0.0,0,0.0,0
347,15,45346.85,0,0.0,1,61767.57272727272,2,33245.31428571429,0,0.0,0,0.0,0
348,15,20557.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
349,15,131654.89,0,0.0,1,16814.418181818182,5,39488.86078431372,0,0.0,0,0.0,0
350,15,48098.93,12,18712.421487603304,0,0.0,1,32898.281818181815,0,0.0,0,0.0,2
351,15,49160.75,0,0.0,1,8987.881818181817,2,52363.55714285714,0,0.0,0,0.0,0
352,14,294.66,5,3718.701960784314,0,0.0,0,0.0,0,0.0,0,0.0,0
353,45,22348.78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
354,15,34035.71,10,18925.676237623764,0,0.0,1,32898.281818181815,0,0.0,0,0.0,2
355,15,81427.89,0,0.0,1,57069.42727272727,8,26240.476543209876,0,0.0,0,0.0,0
356,15,148653.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
357,32,881.08,1,43477.990909090906,0,0.0,0,0.0,0,0.0,0,0.0,0
358,15,23707.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
359,15,167.97,0,0.0,2,48243.30952380952,5,16873.511764705883,0,0.0,0,0.0,0
360,12,238.26469999999998,0,0.0,0,0.0,1,3480.6454545454544,1,6162.818181818182,0,0.0,0
361,10,19464.369599999998,0,0.0,0,0.0,11,41252.036936936944,0,0.0,0,0.0,0
364,12,192652.85460000002,0,0.0,0,0.0,2,76288.45238095238,0,0.0,0,0.0,0
365,15,15608.85,111,23886.053285328526,1,11085.927272727273,20,21888.790049751246,1,791.8272727272727,0,0.0,2
366,15,64523.68,73,21405.28604651163,1,11085.927272727273,14,21987.720567375887,1,791.8272727272727,0,0.0,2
367,13,981.17,5,5619.949019607844,0,0.0,2,2261.8238095238094,0,0.0,0,0.0,0
368,15,23669.98,1,2188.3181818181815,0,0.0,0,0.0,0,0.0,0,0.0,0
369,15,133941.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
370,20,43342.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
371,15,52633.36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
372,15,18335.4,0,0.0,0,0.0,1,49378.12727272727,0,0.0,0,0.0,0
373,60,30.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
374,15,126.24,0,0.0,9,12280.932967032968,10,10497.140594059405,0,0.0,0,0.0,0
375,15,17457.22,0,0.0,1,112337.77272727272,2,47681.15238095238,0,0.0,0,0.0,0
376,15,74006.39,2,52904.91904761905,2,11590.32857142857,4,38224.085365853665,0,0.0,0,0.0,0
377,15,709.01,0,0.0,16,7679.2453416149065,17,11307.380701754386,0,0.0,0,0.0,0
378,15,3098.03,0,0.0,1,1533.3999999999999,1,342.1363636363636,0,0.0,0,0.0,0
379,15,64575.56,0,0.0,1,5475.936363636363,0,0.0,0,0.0,0,0.0,0
380,18,141.6,5,1412.1901960784314,0,0.0,0,0.0,0,0.0,0,0.0,0
381,15,934.82,80,22223.12147315855,1,11085.927272727273,15,24028.576821192055,1,791.8272727272727,0,0.0,2
382,15,36365.76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
384,15,2067.18,29,16389.271134020615,0,0.0,6,23443.847540983606,1,791.8272727272727,0,0.0,2
385,15,59731.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
386,15,7787.1,1,47848.50909090909,0,0.0,0,0.0,0,0.0,0,0.0,0
387,18,2175.46,4,2269.9707317073176,0,0.0,1,18961.081818181814,0,0.0,0,0.0,0
388,10,3955.0889,0,0.0,0,0.0,4,25567.66585365854,0,0.0,0,0.0,0
389,15,21953.66,4,3026.3414634146343,3,8635.535483870968,1,10420.172727272728,0,0.0,0,0.0,0
390,15,660.04,2,24338.766666666666,0,0.0,3,12251.616129032258,0,0.0,0,0.0,0
391,15,25093.71,1,26.027272727272724,4,52716.85609756099,3,29862.364516129033,0,0.0,0,0.0,0
392,65,1583.54,3,13575.62258064516,4,52716.85609756099,3,29862.364516129033,0,0.0,0,0.0,0
393,14,186.72,1,14969.072727272725,0,0.0,1,1697.3818181818178,0,0.0,0,0.0,0
394,15,41744.71,0,0.0,3,62629.354838709674,10,35198.628712871294,0,0.0,0,0.0,0
395,15,44117.6,55,19069.42649727768,1,11085.927272727273,8,17723.343209876544,1,791.8272727272727,0,0.0,2
397,15,62936.98,0,0.0,0,0.0,2,104499.00476190474,0,0.0,0,0.0,0
398,0,22644.2,0,0.0,0,0.0,0,0.0,2,33190.41904761904,0,0.0,0
400,15,10210.46,165,23635.06511205329,1,11085.927272727273,30,23649.7976744186,1,791.8272727272727,0,0.0,2
401,15,6293.46,7,18420.64647887324,3,8635.535483870968,2,15912.309523809523,0,0.0,0,0.0,0
404,15,43759.47,0,0.0,1,57069.42727272727,4,19912.90243902439,0,0.0,0,0.0,0
405,15,58744.01,1,10306.645454545453,0,0.0,7,33083.2014084507,0,0.0,0,0.0,0
406,15,18583.57,0,0.0,7,15656.470422535212,8,10730.02962962963,0,0.0,0,0.0,0
407,35,13437.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
408,15,39259.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
409,15,35428.53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
410,15,2213.68,13,20955.66641221374,0,0.0,3,30437.364516129033,1,791.8272727272727,0,0.0,2
412,-34,576.88,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
413,15,18033.31,0,0.0,0,0.0,3,20519.22258064516,0,0.0,0,0.0,0
414,15,92275.72,0,0.0,1,6738.0545454545445,0,0.0,0,0.0,0,0.0,0
415,15,1898.2,113,23740.661803713516,1,11085.927272727273,20,21888.790049751246,1,791.8272727272727,0,0.0,2
416,15,3762.15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
417,15,10129.32,0,0.0,0,0.0,1,39201.11818181818,0,0.0,0,0.0,0
418,15,28760.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
420,16,23328.0114,0,0.0,0,0.0,2,17025.95238095238,0,0.0,0,0.0,0
421,15,81703.39,0,0.0,2,3295.4761904761904,2,74141.2,0,0.0,0,0.0,0
422,15,3566.36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
424,19,33.12,1,44.94545454545454,0,0.0,0,0.0,0,0.0,0,0.0,0
425,15,36833.34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
426,10,42383.25,0,0.0,1,38537.545454545456,1,38530.22727272727,0,0.0,0,0.0,0
427,15,62776.37,0,0.0,0,0.0,4,19912.90243902439,0,0.0,0,0.0,0
429,40,28136.25,0,0.0,0,0.0,0,0.0,0,0.0,1,8157.263636363636,0
430,18,210.96,2,39.31428571428572,0,0.0,0,0.0,0,0.0,0,0.0,0
431,15,26530.93,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
432,15,9949.04,0,0.0,1,107064.54545454544,5,82578.71176470589,0,0.0,0,0.0,0
434,15,33163.97,0,0.0,0,0.0,2,40286.51904761905,0,0.0,0,0.0,0
435,15,1023.37,0,0.0,2,5284.919047619047,0,0.0,0,0.0,0,0.0,0
436,15,90731.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
437,12,222306.0021,0,0.0,0,0.0,5,96970.7117647059,0,0.0,0,0.0,0
438,15,79535.97,0,0.0,1,169.24545454545452,1,432.4454545454545,0,0.0,0,0.0,0
439,15,14634.32,82,22371.34275274056,1,11085.927272727273,16,22594.181987577642,1,791.8272727272727,0,0.0,2
441,10,33410.866299999994,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
443,15,83046.76,3,22686.08387096774,1,42423.56363636363,10,28943.765346534656,0,0.0,0,0.0,0
444,15,6475.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
448,15,47344.96,1,26.027272727272724,2,40619.66666666666,1,1072.790909090909,0,0.0,0,0.0,0
449,15,167.97,0,0.0,4,27000.421951219512,8,10730.02962962963,0,0.0,0,0.0,0
450,15,66176.65,0,0.0,0,0.0,1,54300.96363636363,0,0.0,0,0.0,0
451,15,151372.68,0,0.0,1,15927.381818181815,1,64644.43636363636,0,0.0,0,0.0,0
452,15,118272.16,0,0.0,3,65283.86451612903,5,82578.71176470589,1,9044.581818181818,0,0.0,0
453,15,21592.15,1,52718.627272727266,0,0.0,0,0.0,0,0.0,1,2048.9636363636364,0
455,15,57185.76,91,22568.825027442366,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
456,15,1092.51,123,24237.9437855402,1,11085.927272727273,21,23591.502369668247,1,791.8272727272727,0,0.0,2
457,19,17556.492700000003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
459,15,795.63,0,0.0,17,7271.629239766082,17,11307.380701754386,0,0.0,0,0.0,0
460,15,61673.46,155,23522.126499032875,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
461,15,87020.67,0,0.0,0,0.0,1,81340.2,0,0.0,0,0.0,0
462,15,50939.87,0,0.0,0,0.0,1,14892.227272727272,0,0.0,0,0.0,0
463,4,18312.28,8,2449.21975308642,0,0.0,1,8469.8,0,0.0,0,0.0,0
464,15,267.3,24,16202.726556016594,0,0.0,6,23443.847540983606,1,791.8272727272727,0,0.0,2
465,15,86698.97,2,52904.91904761905,2,11590.32857142857,3,22587.025806451613,0,0.0,0,0.0,0
466,32,33418.94,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
467,15,235.24,0,0.0,12,9326.320661157024,14,13500.89574468085,0,0.0,0,0.0,0
469,15,3429.83,0,0.0,1,4275.20909090909,6,17728.950819672133,0,0.0,0,0.0,0
472,15,22635.54,0,0.0,6,53266.14262295082,18,34716.94751381215,0,0.0,0,0.0,0
474,15,54671.37,163,23421.096137339046,1,11085.927272727273,30,23649.7976744186,1,791.8272727272727,0,0.0,2
475,15,35615.31,0,0.0,1,87341.51818181817,3,27165.622580645162,0,0.0,0,0.0,0
476,15,239.42,0,0.0,8,13767.53950617284,9,11593.056043956043,0,0.0,0,0.0,0
477,15,7411.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
478,15,1898.2,134,24087.194630872473,1,11085.927272727273,24,24084.290871369296,1,791.8272727272727,0,0.0,2
479,20,2160.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
480,14,22175.5531,3,123594.56129032258,0,0.0,2,138494.2,0,0.0,0,0.0,0
481,32,7992.72,0,0.0,0,0.0,1,35655.73636363636,0,0.0,0,0.0,0
483,17,2931.16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
484,15,1195.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
485,45,22041.56,0,0.0,0,0.0,0,0.0,1,9727.372727272726,0,0.0,0
487,15,17719.73,171,23787.764289888946,1,11085.927272727273,31,23115.739871382633,1,791.8272727272727,0,0.0,2
488,15,21273.77,0,0.0,1,16814.418181818182,4,43931.56585365854,0,0.0,0,0.0,0
489,15,1730.7,0,0.0,2,26819.185714285715,1,23731.70909090909,0,0.0,0,0.0,0
490,15,17851.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
491,15,37029.64,0,0.0,1,17536.954545454544,0,0.0,0,0.0,0,0.0,0
492,18,20519.204999999998,0,0.0,0,0.0,8,34778.16543209876,0,0.0,0,0.0,0
494,15,13689.19,3,55643.96129032257,2,36956.57619047619,8,48494.724691358024,0,0.0,0,0.0,0
495,15,9165.0,1,34641.08181818182,0,0.0,1,5341.045454545454,0,0.0,0,0.0,0
496,15,48970.0,120,23971.55970024978,1,11085.927272727273,21,23591.502369668247,1,791.8272727272727,0,0.0,2
497,15,2254.43,5,30252.44117647059,3,13657.106451612903,3,25472.81612903226,0,0.0,0,0.0,0
499,15,43829.94,0,0.0,0,0.0,3,11052.625806451613,0,0.0,0,0.0,0
500,15,9886.67,0,0.0,0,0.0,1,13536.60909090909,0,0.0,0,0.0,0
501,15,9222.81,0,0.0,3,32735.135483870967,6,14196.611475409838,0,0.0,0,0.0,0
503,15,15539.03,0,0.0,0,0.0,2,4874.142857142857,0,0.0,0,0.0,0
504,15,512.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
505,10,191122.2636,0,0.0,0,0.0,2,141067.59047619047,0,0.0,0,0.0,0
506,15,73309.01,6,30766.029508196727,0,0.0,2,22615.490476190476,0,0.0,0,0.0,0
507,15,1915.56,27,15862.281549815494,0,0.0,6,23443.847540983606,1,791.8272727272727,0,0.0,2
508,32,28175.07,6,16821.560655737707,3,8635.535483870968,2,15912.309523809523,0,0.0,0,0.0,0
509,15,4200.0,1,66110.07272727272,1,381.8181818181818,3,3864.6516129032257,0,0.0,0,0.0,0
510,15,15549.86,38,19852.933858267716,0,0.0,7,20161.547887323944,1,791.8272727272727,0,0.0,2
512,15,96075.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
513,15,206.36,0,0.0,0,0.0,1,121765.44545454544,0,0.0,0,0.0,0
514,15,48849.17,0,0.0,6,53266.14262295082,16,35155.49192546584,0,0.0,0,0.0,0
515,15,37124.42,3,18349.0,0,0.0,0,0.0,0,0.0,0,0.0,2
517,15,12707.34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
518,15,4699.2,0,0.0,1,1493.7363636363634,0,0.0,0,0.0,0,0.0,0
521,18,10773.121000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
523,15,265.5,50,20057.34690618763,1,11085.927272727273,8,17723.343209876544,1,791.8272727272727,0,0.0,2
524,16,1233.7803,0,0.0,0,0.0,5,31644.32352941177,0,0.0,0,0.0,0
525,10,31395.5553,0,0.0,0,0.0,5,21616.737254901964,0,0.0,0,0.0,0
526,10,1253.7969,0,0.0,0,0.0,10,45166.34455445545,0,0.0,0,0.0,0
527,15,14744.33,0,0.0,1,87341.51818181817,1,7157.772727272727,0,0.0,0,0.0,0
528,15,79706.18,1,26.027272727272724,1,5086.472727272727,1,1072.790909090909,0,0.0,0,0.0,0
530,15,24130.19,3,55643.96129032257,1,24573.22727272727,1,41955.163636363635,0,0.0,0,0.0,0
532,15,110271.34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
533,13,53219.277599999994,2,48290.3,0,0.0,6,42678.29180327869,0,0.0,0,0.0,0
534,15,12194.52,47,20855.470912951172,0,0.0,8,17723.343209876544,1,791.8272727272727,0,0.0,2
536,15,33475.3,0,0.0,1,17117.154545454545,1,11202.51818181818,0,0.0,0,0.0,0
537,15,103040.02,0,0.0,1,113466.86363636363,0,0.0,0,0.0,0,0.0,0
538,10,21332.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
539,15,11530.3,0,0.0,0,0.0,2,63880.16666666665,0,0.0,0,0.0,0
540,15,50732.36,187,23970.869107429186,1,11085.927272727273,37,24627.481940700804,1,791.8272727272727,0,0.0,2
541,15,17464.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
542,15,15132.2,177,23859.43083003952,1,11085.927272727273,35,25082.993162393155,1,791.8272727272727,0,0.0,2
543,15,67686.57,117,23966.939368061478,1,11085.927272727273,20,21888.790049751246,1,791.8272727272727,0,0.0,2
544,6,13370.36,4,5274.697560975611,0,0.0,0,0.0,0,0.0,0,0.0,0
546,15,2156.16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
547,15,31798.83,2,20499.290476190476,3,13657.106451612903,2,22460.428571428572,0,0.0,0,0.0,0
548,15,3795.7,37,20285.743396226415,0,0.0,7,20161.547887323944,1,791.8272727272727,0,0.0,2
549,15,766.53,0,0.0,15,8165.665562913908,14,13500.89574468085,0,0.0,0,0.0,0
550,15,58685.57,3,55643.96129032257,4,23342.107317073172,9,44669.94065934066,0,0.0,0,0.0,0
551,15,1714.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
552,45,15810.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
553,15,7232.256,0,0.0,0,0.0,10,38384.047524752474,0,0.0,0,0.0,0
554,15,41616.57,2,18669.20952380952,0,0.0,2,18940.390476190474,0,0.0,0,0.0,0
555,15,44460.03,175,23807.051513420898,1,11085.927272727273,32,22470.890342679122,1,791.8272727272727,0,0.0,2
556,15,5625.41,113,23740.661803713516,1,11085.927272727273,20,21888.790049751246,1,791.8272727272727,0,0.0,2
557,15,640.81,84,22697.735790725324,1,11085.927272727273,16,22594.181987577642,1,791.8272727272727,0,0.0,2
558,15,17375.6,14,19626.447517730496,0,0.0,4,25216.339024390247,1,791.8272727272727,0,0.0,2
560,15,13665.79,151,23978.95757776306,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
561,15,374.32,0,0.0,18,6913.839226519338,18,10693.99447513812,0,0.0,0,0.0,0
562,15,713.84,1,66110.07272727272,1,381.8181818181818,1,7081.872727272727,0,0.0,0,0.0,0
563,15,5621.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
564,15,71693.24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
565,15,778.4,4,12945.434146341464,0,0.0,1,5183.290909090909,0,0.0,0,0.0,0
566,15,72624.23,0,0.0,1,3911.490909090909,0,0.0,0,0.0,0,0.0,0
567,15,4735.92,1,3206.8454545454547,3,2050.6548387096777,1,342.1363636363636,0,0.0,0,0.0,0
568,10,51.66,2,1687.4666666666665,0,0.0,1,4271.063636363636,0,0.0,0,0.0,0
569,10,42391.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
570,15,33778.35,10,29876.434653465345,5,14448.886274509803,5,19066.343137254906,0,0.0,0,0.0,0
572,45,16935.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
573,15,753.87,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
574,35,1687.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
575,15,10795.15,6,25662.603278688526,3,13657.106451612903,3,25472.81612903226,0,0.0,0,0.0,0
576,15,26104.88,0,0.0,2,26819.185714285715,0,0.0,0,0.0,0,0.0,0
577,15,32527.63,3,31161.69677419355,0,0.0,1,13604.454545454544,0,0.0,0,0.0,0
578,10,70163.54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
579,15,139.52,33,17396.346223564953,0,0.0,6,23443.847540983606,1,791.8272727272727,0,0.0,2
580,35,13108.5,1,7003.636363636363,1,14768.30909090909,7,29772.023943661974,0,0.0,0,0.0,0
581,15,12005.99,0,0.0,2,71500.35714285714,5,39488.86078431372,0,0.0,0,0.0,0
582,15,43121.23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
584,15,1715.75,3,55643.96129032257,1,24573.22727272727,5,58393.96666666667,0,0.0,0,0.0,0
585,60,8666.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
586,15,1200.99,16,18588.411801242233,0,0.0,4,25216.339024390247,1,791.8272727272727,0,0.0,2
588,15,47004.5,85,22438.547473560513,1,11085.927272727273,17,21821.883040935674,1,791.8272727272727,0,0.0,2
589,21,14743.96,2,7929.857142857143,0,0.0,1,1697.3818181818178,0,0.0,0,0.0,0
590,15,10295.37,0,0.0,0,0.0,1,13062.6,0,0.0,0,0.0,0
591,15,51669.22,1,13433.009090909089,3,42673.98387096774,1,56121.590909090904,0,0.0,0,0.0,0
592,15,21555.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
593,15,113631.54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
594,15,12806.7,77,22322.167185473412,1,11085.927272727273,14,21987.720567375887,1,791.8272727272727,0,0.0,2
595,15,4702.73,0,0.0,0,0.0,5,15190.794117647061,0,0.0,0,0.0,0
597,19,2330.9849,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
598,11,85938.04550000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
599,15,565.17,1,24119.02727272727,0,0.0,0,0.0,0,0.0,0,0.0,0
602,18,108794.382,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
603,15,38476.57,21,15311.995260663502,0,0.0,5,20496.254901960787,1,791.8272727272727,0,0.0,2
604,15,140453.73,3,13575.62258064516,4,52716.85609756099,4,22965.09024390244,0,0.0,0,0.0,0
605,15,8942.17,0,0.0,1,1960.1454545454542,0,0.0,0,0.0,0,0.0,0
606,15,1473.29,1,5557.263636363636,0,0.0,3,28125.670967741935,0,0.0,0,0.0,0
607,15,32135.44,4,22928.37073170732,0,0.0,0,0.0,0,0.0,0,0.0,2
608,11,3367.1688000000004,0,0.0,0,0.0,1,2570.7272727272725,0,0.0,0,0.0,0
609,15,114429.2,0,0.0,1,39251.64545454545,3,17239.051612903226,0,0.0,0,0.0,0
610,15,14780.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
611,15,1235.26,11,20286.940540540538,0,0.0,1,32898.281818181815,0,0.0,0,0.0,2
612,32,20388.61,0,0.0,0,0.0,3,8314.429032258064,0,0.0,0,0.0,0
613,12,3556.2096,1,87761.91818181818,0,0.0,6,42678.29180327869,0,0.0,0,0.0,0
614,30,43191.66,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
615,13,14879.66,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
616,11,4948.743,0,0.0,0,0.0,1,3480.6454545454544,0,0.0,0,0.0,0
618,4,2279.05,4,6434.802439024392,0,0.0,2,2261.8238095238094,0,0.0,0,0.0,0
621,15,80350.75,0,0.0,0,0.0,2,53814.376190476185,0,0.0,0,0.0,0
622,15,16091.15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
623,15,1191.92,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
624,15,1897.5,109,24251.933822181476,1,11085.927272727273,19,22865.912565445025,1,791.8272727272727,0,0.0,2
626,15,871.01,12,18712.421487603304,0,0.0,1,32898.281818181815,0,0.0,0,0.0,2
628,15,47291.41,71,20287.749226441625,1,11085.927272727273,13,20056.141221374048,1,791.8272727272727,0,0.0,2
630,32,10302.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
631,15,38294.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
632,15,43056.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
634,12,82923.8317,3,10625.464516129032,0,0.0,3,19043.287096774195,1,6162.818181818182,0,0.0,0
635,15,1355.27,20,16006.359701492534,0,0.0,4,25216.339024390247,1,791.8272727272727,0,0.0,2
636,15,76933.62,2,45506.028571428564,1,24573.22727272727,1,41955.163636363635,0,0.0,0,0.0,0
637,10,2714.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
638,15,544.42,0,0.0,3,32735.135483870967,5,16873.511764705883,0,0.0,0,0.0,0
639,19,124214.3326,0,0.0,0,0.0,1,135484.9090909091,0,0.0,0,0.0,0
640,15,1584.8,4,42596.3024390244,0,0.0,2,22615.490476190476,0,0.0,0,0.0,0
641,15,18495.86,0,0.0,0,0.0,1,42249.53636363636,0,0.0,0,0.0,0
642,15,19557.41,25,15567.849003984062,0,0.0,6,23443.847540983606,1,791.8272727272727,0,0.0,2
643,15,3711.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
646,15,135078.23,0,0.0,0,0.0,1,65175.67272727273,0,0.0,0,0.0,0
647,15,12731.68,74,21987.180701754387,1,11085.927272727273,14,21987.720567375887,1,791.8272727272727,0,0.0,2
648,15,28860.44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
651,15,50578.05,91,22568.825027442366,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
652,15,16282.38,102,23952.592850146906,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
653,30,70142.76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
654,15,48.74,1,43477.990909090906,0,0.0,2,18062.509523809524,0,0.0,0,0.0,0
655,15,5323.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
656,15,10203.2,151,23978.95757776306,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
657,15,728.01,0,0.0,19,6571.456020942409,18,10693.99447513812,0,0.0,0,0.0,0
659,15,20282.98,0,0.0,6,53266.14262295082,15,36140.42649006623,0,0.0,0,0.0,0
660,15,9222.81,0,0.0,14,8090.690780141845,14,13500.89574468085,0,0.0,0,0.0,0
661,15,15839.46,3,55643.96129032257,2,36956.57619047619,9,44669.94065934066,0,0.0,0,0.0,0
663,15,158.23,0,0.0,4,27000.421951219512,7,12219.015492957746,0,0.0,0,0.0,0
664,19,64556.7324,0,0.0,0,0.0,3,180017.18064516128,0,0.0,0,0.0,0
666,11,116776.08519999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
667,15,39664.91,0,0.0,4,67404.30731707318,11,35788.36576576577,0,0.0,0,0.0,0
670,15,822.03,0,0.0,0,0.0,0,0.0,1,524.4363636363636,0,0.0,0
671,15,38128.47,0,0.0,2,26819.185714285715,2,13255.038095238095,0,0.0,0,0.0,0
674,15,93149.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
676,15,2779.34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
677,15,86572.76,1,9128.127272727272,0,0.0,0,0.0,0,0.0,0,0.0,0
678,15,471.56,154,23671.708371187535,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
679,0,113248.8,0,0.0,0,0.0,0,0.0,3,29788.412903225802,0,0.0,0
680,15,23699.69,1,54502.93636363636,1,581.8181818181818,2,26661.87619047619,0,0.0,0,0.0,0
683,15,44409.01,115,23393.505299739347,1,11085.927272727273,20,21888.790049751246,1,791.8272727272727,0,0.0,2
684,15,14135.58,0,0.0,1,57069.42727272727,6,29044.685245901637,0,0.0,0,0.0,0
686,15,70114.05,97,23450.63048403707,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
689,10,33810.7092,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
690,20,48057.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
